filename,label
348.png,0
360.png,0
176.png,0
88.png,1
162.png,0
189.png,0
77.png,1
63.png,0
228.png,0
200.png,0
214.png,0
215.png,0
201.png,0
229.png,0
62.png,1
188.png,0
76.png,0
163.png,0
177.png,0
89.png,0
361.png,0
349.png,0
149.png,0
161.png,0
175.png,0
60.png,1
74.png,1
48.png,0
217.png,0
203.png,0
202.png,0
216.png,1
49.png,0
75.png,1
61.png,1
174.png,0
160.png,0
148.png,0
164.png,0
170.png,1
158.png,0
59.png,1
65.png,0
71.png,0
212.png,0
206.png,0
207.png,0
213.png,0
70.png,1
64.png,1
58.png,1
159.png,0
171.png,0
165.png,0
359.png,0
173.png,0
167.png,0
99.png,0
8.png,1
72.png,0
198.png,0
66.png,0
205.png,0
211.png,1
239.png,1
238.png,0
210.png,0
204.png,1
199.png,0
67.png,1
73.png,0
9.png,1
166.png,0
98.png,1
172.png,0
358.png,1
317.png,0
303.png,0
129.png,0
115.png,0
101.png,0
14.png,1
28.png,0
263.png,0
277.png,0
288.png,0
289.png,0
276.png,0
262.png,0
29.png,0
15.png,0
100.png,1
114.png,0
128.png,0
302.png,0
316.png,0
328.png,0
300.png,1
314.png,0
102.png,0
116.png,0
17.png,1
248.png,0
274.png,0
260.png,0
261.png,0
275.png,0
249.png,0
16.png,0
117.png,1
103.png,1
315.png,0
301.png,0
329.png,0
305.png,0
311.png,1
339.png,0
107.png,1
113.png,0
12.png,1
271.png,1
265.png,0
259.png,0
258.png,0
264.png,0
270.png,0
13.png,1
112.png,0
106.png,0
338.png,0
310.png,0
304.png,0
312.png,1
306.png,0
110.png,0
104.png,1
138.png,0
39.png,0
11.png,1
266.png,0
272.png,0
299.png,0
298.png,0
273.png,0
267.png,0
10.png,1
38.png,0
139.png,0
105.png,1
111.png,0
307.png,0
313.png,0
336.png,0
322.png,0
108.png,0
134.png,0
120.png,0
35.png,0
21.png,1
242.png,0
256.png,0
281.png,0
295.png,0
294.png,0
280.png,0
257.png,0
243.png,0
20.png,0
34.png,0
121.png,0
135.png,0
109.png,0
323.png,0
337.png,0
309.png,0
321.png,1
335.png,0
123.png,0
137.png,0
22.png,0
36.png,0
269.png,0
255.png,0
241.png,0
296.png,0
282.png,0
283.png,0
297.png,0
240.png,0
254.png,0
268.png,0
37.png,0
23.png,1
136.png,1
122.png,0
334.png,0
320.png,0
308.png,0
324.png,0
330.png,0
318.png,0
126.png,1
132.png,0
27.png,1
33.png,1
250.png,0
244.png,1
278.png,0
293.png,0
287.png,0
286.png,0
292.png,0
279.png,0
245.png,0
251.png,0
32.png,0
26.png,0
133.png,1
127.png,0
319.png,0
331.png,0
325.png,0
333.png,0
327.png,0
131.png,0
125.png,0
119.png,1
18.png,0
30.png,0
24.png,1
247.png,1
253.png,0
284.png,0
290.png,0
291.png,0
285.png,0
252.png,0
246.png,0
25.png,0
31.png,0
19.png,1
118.png,1
124.png,0
130.png,0
326.png,0
332.png,0
355.png,0
341.png,0
95.png,0
81.png,0
157.png,1
143.png,1
4.png,1
56.png,1
42.png,0
194.png,0
180.png,0
209.png,0
221.png,1
235.png,0
234.png,0
220.png,0
208.png,0
181.png,0
195.png,1
43.png,0
5.png,0
57.png,1
142.png,1
156.png,0
80.png,0
94.png,0
340.png,1
354.png,0
342.png,0
356.png,0
82.png,0
96.png,0
168.png,0
140.png,0
154.png,0
41.png,1
55.png,0
7.png,1
183.png,0
69.png,0
197.png,0
236.png,0
222.png,1
223.png,0
237.png,0
68.png,1
196.png,0
182.png,0
54.png,0
6.png,0
40.png,1
155.png,0
141.png,0
97.png,0
169.png,0
83.png,0
357.png,0
343.png,0
347.png,0
353.png,0
145.png,0
151.png,0
87.png,0
179.png,0
93.png,0
78.png,0
186.png,0
192.png,1
44.png,1
2.png,1
50.png,1
233.png,0
227.png,1
226.png,0
232.png,0
3.png,0
51.png,0
45.png,0
193.png,0
79.png,0
187.png,1
92.png,0
86.png,0
178.png,0
150.png,1
144.png,0
352.png,0
346.png,0
350.png,0
344.png,0
152.png,0
146.png,0
90.png,0
84.png,0
191.png,0
185.png,0
53.png,1
1.png,0
47.png,0
224.png,1
230.png,0
218.png,0
219.png,0
231.png,0
225.png,0
46.png,1
52.png,0
0.png,0
184.png,0
190.png,0
85.png,0
91.png,0
147.png,0
153.png,0
345.png,1
351.png,0
